Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,1,Zeros,0.6,dyna_mask,1.0,1.0,0.9678,0.0002413,0.1224,-0.03135,0.01926
42,1,Zeros,0.6,extremal_mask,1.0,1.0,0.9604,0.06628,0.2394,-0.1481,-0.0514
42,1,Zeros,0.6,integrated_gradients,1.0,1.0,0.9761,-0.01483,0.1163,-0.02528,-0.009085
42,1,Zeros,0.6,gradient_shap,1.0,1.0,0.9698,-0.009914,0.1353,-0.04264,0.0002209
42,1,Zeros,0.6,lime,1.0,1.0,0.9761,-0.01342,0.1295,-0.0385,0.01059
42,1,Zeros,0.6,augmented_occlusion,1.0,1.0,0.9759,-0.01515,0.1162,-0.02513,-0.005784
42,1,Zeros,0.6,occlusion,1.0,1.0,0.9759,-0.01918,0.1129,-0.02182,-0.005057
42,1,Zeros,0.6,retain,1.0,1.0,0.9761,-0.02274,0.1132,-0.02216,0.0006151
42,2,Average,0.1,deep_lift,1.0,1.0,0.9889,-0.000594,0.09549,-0.001055,0.003419
42,2,Average,0.1,dyna_mask,1.0,1.0,0.9937,0.0003424,0.09555,-0.001115,0.002168
42,2,Average,0.1,extremal_mask,1.0,1.0,0.985,0.01261,0.1112,-0.02061,-0.00954
42,2,Average,0.1,integrated_gradients,1.0,1.0,0.9896,-0.0001548,0.09595,-0.001512,0.002908
42,2,Average,0.1,gradient_shap,1.0,1.0,0.9911,-0.001976,0.08597,0.0002059,0.004249
42,2,Average,0.1,lime,1.0,1.0,0.9963,-0.0009708,0.09341,0.001025,0.003648
42,2,Average,0.1,augmented_occlusion,1.0,1.0,0.9887,-0.0001805,0.09621,-0.001776,0.002933
42,2,Average,0.1,occlusion,1.0,1.0,0.9883,-0.001615,0.09507,-0.0006377,0.004929
42,2,Average,0.1,retain,1.0,1.0,0.9885,-0.0028,0.09361,0.0008285,0.006638
