Seed,Noise,Activations,Explainer,Purity,Std_0,Std_1
60,0.25,relu,geodesic_integrated_gradients_10,0.9464,0.2405,0.439
60,0.25,relu,geodesic_integrated_gradients_15,0.9472,0.2406,0.4383
60,0.25,relu,enhanced_integrated_gradients_5,0.8392,0.297,0.9742
60,0.25,relu,enhanced_integrated_gradients_10,0.8672,1.171,0.9231
60,0.25,relu,enhanced_integrated_gradients_15,0.8792,1.17,1.021
60,0.25,relu,gradient_shap,0.828,3.271,1.283
60,0.25,relu,integrated_gradients,0.8304,3.203,1.206
60,0.25,relu,smooth_grad,0.824,3.101,1.18
60,0.3,relu,acc,0.9128
60,0.3,relu,geodesic_integrated_gradients_5,0.9304,0.2723,0.4274
60,0.3,relu,geodesic_integrated_gradients_10,0.9248,0.2756,0.4252
60,0.3,relu,geodesic_integrated_gradients_15,0.9264,0.2635,0.4181
60,0.3,relu,enhanced_integrated_gradients_5,0.916,1.33,0.5486
60,0.3,relu,enhanced_integrated_gradients_10,0.8648,1.51,0.7792
60,0.3,relu,enhanced_integrated_gradients_15,0.8712,1.336,0.856
60,0.3,relu,gradient_shap,0.8312,3.407,0.9366
60,0.3,relu,integrated_gradients,0.8376,3.339,0.8928
60,0.3,relu,smooth_grad,0.8304,3.258,0.8835
12,0.05,softplus,acc,1.0
12,0.05,softplus,geodesic_integrated_gradients_5,0.9872,0.0009727,0.005593
12,0.05,softplus,geodesic_integrated_gradients_10,0.9872,0.0009727,0.005588
12,0.05,softplus,geodesic_integrated_gradients_15,0.9872,0.0009727,0.005585
12,0.05,softplus,enhanced_integrated_gradients_5,0.9872,0.07834,0.005668
12,0.05,softplus,enhanced_integrated_gradients_10,0.9872,0.07621,0.005896
12,0.05,softplus,enhanced_integrated_gradients_15,0.9872,0.1072,0.005876
12,0.05,softplus,gradient_shap,0.9584,9.147,4.785
12,0.05,softplus,integrated_gradients,0.9848,8.479,4.521
12,0.05,softplus,smooth_grad,0.9832,8.184,4.55
12,0.1,softplus,acc,0.9988
12,0.1,softplus,geodesic_integrated_gradients_5,0.9864,0.05014,0.06806
12,0.1,softplus,geodesic_integrated_gradients_10,0.9864,0.05014,0.06793
12,0.1,softplus,geodesic_integrated_gradients_15,0.9864,0.05014,0.06791
12,0.1,softplus,enhanced_integrated_gradients_5,0.9864,0.1565,0.1007
12,0.1,softplus,enhanced_integrated_gradients_10,0.9864,0.2313,0.08792
12,0.1,softplus,enhanced_integrated_gradients_15,0.9856,0.3454,0.09062
12,0.1,softplus,gradient_shap,0.9336,5.185,3.7
12,0.1,softplus,integrated_gradients,0.9456,4.762,3.464
12,0.1,softplus,smooth_grad,0.944,4.512,3.563
12,0.15,softplus,acc,0.9836
12,0.15,softplus,geodesic_integrated_gradients_5,0.9936,0.2759,0.1053
12,0.15,softplus,geodesic_integrated_gradients_10,0.9936,0.2694,0.103
12,0.15,softplus,geodesic_integrated_gradients_15,0.9936,0.2632,0.103
12,0.15,softplus,enhanced_integrated_gradients_5,0.9936,0.3467,0.1109
12,0.15,softplus,enhanced_integrated_gradients_10,0.9936,0.3179,0.2831
12,0.15,softplus,enhanced_integrated_gradients_15,0.9936,0.3288,0.3831
12,0.15,softplus,gradient_shap,0.9576,9.584,1.687
12,0.15,softplus,integrated_gradients,0.9912,9.453,1.569
12,0.15,softplus,smooth_grad,0.9896,9.223,1.582
12,0.2,softplus,acc,0.9684
12,0.2,softplus,geodesic_integrated_gradients_5,0.9656,0.2329,0.2079
12,0.2,softplus,geodesic_integrated_gradients_10,0.9672,0.2233,0.2066
12,0.2,softplus,geodesic_integrated_gradients_15,0.9656,0.2213,0.2037
12,0.2,softplus,enhanced_integrated_gradients_5,0.8552,0.5263,0.9916
12,0.2,softplus,enhanced_integrated_gradients_10,0.8728,1.026,0.9374
12,0.2,softplus,enhanced_integrated_gradients_15,0.8488,1.375,0.8706
12,0.2,softplus,gradient_shap,0.8488,4.22,1.236
12,0.2,softplus,integrated_gradients,0.8616,4.076,1.168
12,0.2,softplus,smooth_grad,0.8512,4.011,1.187
12,0.25,softplus,acc,0.9388
12,0.25,softplus,geodesic_integrated_gradients_5,0.8472,0.3404,0.3076
12,0.25,softplus,geodesic_integrated_gradients_10,0.8696,0.3333,0.294
12,0.25,softplus,geodesic_integrated_gradients_15,0.8736,0.3337,0.295
12,0.25,softplus,enhanced_integrated_gradients_5,0.4736,0.6759,0.8681
12,0.25,softplus,enhanced_integrated_gradients_10,0.5672,0.9456,0.9897
12,0.25,softplus,enhanced_integrated_gradients_15,0.5768,1.114,0.9735
12,0.25,softplus,gradient_shap,0.6432,3.028,1.075
12,0.25,softplus,integrated_gradients,0.6368,2.973,1.013
12,0.25,softplus,smooth_grad,0.644,2.941,1.01
24,0.05,softplus,acc,0.998
24,0.05,softplus,geodesic_integrated_gradients_5,1.0,0.1036,0.0001434
24,0.05,softplus,geodesic_integrated_gradients_10,1.0,0.1036,0.0001433
24,0.05,softplus,geodesic_integrated_gradients_15,1.0,0.1036,0.0001433
24,0.05,softplus,enhanced_integrated_gradients_5,1.0,0.1211,0.0001453
24,0.05,softplus,enhanced_integrated_gradients_10,1.0,0.14,0.0001445
24,0.05,softplus,enhanced_integrated_gradients_15,1.0,0.1454,0.0001453
24,0.05,softplus,gradient_shap,0.9968,9.686,2.551
24,0.05,softplus,integrated_gradients,1.0,9.433,2.354
24,0.05,softplus,smooth_grad,1.0,9.134,2.424
24,0.1,softplus,acc,0.9996
24,0.1,softplus,geodesic_integrated_gradients_5,1.0,0.03165,0.03579
24,0.1,softplus,geodesic_integrated_gradients_10,1.0,0.03165,0.03579
24,0.1,softplus,geodesic_integrated_gradients_15,1.0,0.03165,0.03579
24,0.1,softplus,enhanced_integrated_gradients_5,1.0,0.05061,0.03684
24,0.1,softplus,enhanced_integrated_gradients_10,1.0,0.07856,0.03735
24,0.1,softplus,enhanced_integrated_gradients_15,1.0,0.07756,0.05613
24,0.1,softplus,gradient_shap,0.9992,8.825,3.377
24,0.1,softplus,integrated_gradients,0.9992,8.09,3.095
24,0.1,softplus,smooth_grad,0.9992,7.922,2.954
24,0.15,softplus,acc,0.9904
24,0.15,softplus,geodesic_integrated_gradients_5,1.0,0.2114,0.1591
24,0.15,softplus,geodesic_integrated_gradients_10,1.0,0.2524,0.158
24,0.15,softplus,geodesic_integrated_gradients_15,1.0,0.2565,0.1574
24,0.15,softplus,enhanced_integrated_gradients_5,1.0,0.252,0.2847
24,0.15,softplus,enhanced_integrated_gradients_10,0.9952,0.2941,0.5589
